epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8771,1.71637,4.84631,1.62023,0.00025,0.05318,0.00017,3e-05,3.46364,6.35582,3.69116,9.996e-05,9.996e-05,9.996e-05
2,85.9209,0.99264,3.54466,1.06484,0.00036,0.08313,0.00062,0.00011,3.54465,6.46043,3.83786,0.000187633,0.000187633,0.000187633
3,100.604,0.84934,2.54435,0.95445,0.00065,0.20023,0.00114,0.00021,3.59855,6.49042,3.9163,0.000253865,0.000253865,0.000253865
4,115.298,0.86539,2.04951,0.95281,0.00072,0.22089,0.00106,0.00021,3.60515,6.5141,3.90749,0.000298655,0.000298655,0.000298655
5,130.033,0.77983,1.80309,0.94196,0.00065,0.17229,0.0012,0.00025,3.63242,6.49051,3.83306,0.000322004,0.000322004,0.000322004
6,145.606,0.78274,1.70949,0.91885,0.00051,0.1233,0.00131,0.00027,3.69582,6.74154,3.71785,0.000323912,0.000323912,0.000323912
7,160.547,0.80225,1.68081,0.93396,0.0005,0.11531,0.00103,0.00023,3.67847,6.53346,3.74762,0.000304378,0.000304378,0.000304378
8,175.767,0.73356,1.57994,0.89953,0.00048,0.1094,0.00117,0.00024,3.65968,6.47546,3.76247,0.000255731,0.000255731,0.000255731
9,191.321,0.73457,1.52849,0.89492,0.00054,0.12555,0.00112,0.00018,3.69093,6.37098,3.8155,0.000173264,0.000173264,0.000173264
10,207.491,0.73098,1.5099,0.9075,0.00051,0.11817,0.00085,0.00015,3.6717,6.34794,3.80977,9.0797e-05,9.0797e-05,9.0797e-05
